task_tag ,cluster                                                     ,created_at                       ,started_at ,completed_at                     ,failures_during_execution ,retries_before_aborting ,fault_tolerance_technology_label ,checkpoint_strategy_label ,task_completed_successfully ,time_spent_spawning_cluster ,time_spent_setting_up_task ,time_spent_checkpointing ,time_spent_restoring_cluster ,time_spent_executing_task ,total_time_spent
exp 9-3  ,aws-us-east-1c-4x-c5.2xlarge-spot-efs-02-00-47--15-02-2024  ,2024-02-15 05:06:17.726370+00:00 ,           ,2024-02-15 06:46:01.940168+00:00 ,                        0 ,                      3 ,SCR                              ,SCR                       ,True                        ,                        328 ,                        13 ,                       0 ,                         315 ,                       90 ,             746
exp 9-4  ,aws-us-east-1c-4x-c5.2xlarge-spot-efs-02-00-47--15-02-2024  ,2024-02-15 05:06:17.730218+00:00 ,           ,2024-02-15 06:51:57.495573+00:00 ,                        0 ,                      3 ,SCR                              ,SCR                       ,True                        ,                        328 ,                        12 ,                       0 ,                         256 ,                       83 ,             679
exp 9-5  ,aws-us-east-1c-4x-c5.2xlarge-spot-efs-02-00-47--15-02-2024  ,2024-02-15 05:06:17.734415+00:00 ,           ,2024-02-15 06:59:55.628902+00:00 ,                        0 ,                      3 ,SCR                              ,SCR                       ,True                        ,                        328 ,                        13 ,                       0 ,                         373 ,                       89 ,             803
exp 7-1  ,aws-us-east-1c-4x-c5.2xlarge-spot-efs-02-00-47--15-02-2024  ,2024-02-15 05:06:17.664104+00:00 ,           ,2024-02-15 05:15:29.964713+00:00 ,                        0 ,                      3 ,SCR                              ,SCR                       ,True                        ,                        328 ,                        17 ,                       0 ,                         447 ,                       85 ,             877
exp 9-1  ,aws-us-east-1c-4x-c5.2xlarge-spot-efs-02-00-47--15-02-2024  ,2024-02-15 05:06:17.718487+00:00 ,           ,2024-02-15 06:31:01.744387+00:00 ,                        0 ,                      3 ,SCR                              ,SCR                       ,True                        ,                        328 ,                        12 ,                       0 ,                         373 ,                       81 ,             794
exp 20-4 ,aws-us-east-1c-4x-i3.2xlarge-spot-efs-18-24-56--15-02-2024  ,2024-02-15 21:31:16.655450+00:00 ,           ,2024-02-15 22:33:13.951101+00:00 ,                        0 ,                      3 ,SCR                              ,SCR                       ,True                        ,                        334 ,                        12 ,                       0 ,                         286 ,                       90 ,             722
exp 20-5 ,aws-us-east-1c-4x-i3.2xlarge-spot-efs-18-24-56--15-02-2024  ,2024-02-15 21:31:16.662854+00:00 ,           ,2024-02-15 22:39:47.770971+00:00 ,                        0 ,                      3 ,SCR                              ,SCR                       ,True                        ,                        334 ,                        13 ,                       0 ,                         289 ,                       88 ,             724
exp 1-1  ,aws-us-east-1c-4x-t3.2xlarge-spot-efs-22-00-11--14-02-2024  ,2024-02-15 01:04:14.770447+00:00 ,           ,2024-02-15 01:12:59.051610+00:00 ,                        0 ,                      3 ,SCR                              ,SCR                       ,True                        ,                        241 ,                        14 ,                       0 ,                         389 ,                      117 ,             761
exp 4-2  ,aws-us-east-1c-8x-t3.2xlarge-spot-efs-23-52-44--14-02-2024  ,2024-02-15 02:59:12.437212+00:00 ,           ,2024-02-15 03:16:39.020351+00:00 ,                        0 ,                      3 ,SCR                              ,SCR                       ,True                        ,                        386 ,                        13 ,                       0 ,                         368 ,                      141 ,             908
exp 4-3  ,aws-us-east-1c-8x-t3.2xlarge-spot-efs-23-52-44--14-02-2024  ,2024-02-15 02:59:12.442341+00:00 ,           ,2024-02-15 03:24:11.996711+00:00 ,                        0 ,                      3 ,SCR                              ,SCR                       ,True                        ,                        386 ,                        13 ,                       0 ,                         299 ,                      137 ,             835
exp 4-4  ,aws-us-east-1c-8x-t3.2xlarge-spot-efs-23-52-44--14-02-2024  ,2024-02-15 02:59:12.446814+00:00 ,           ,2024-02-15 03:30:59.681905+00:00 ,                        0 ,                      3 ,SCR                              ,SCR                       ,True                        ,                        386 ,                        13 ,                       0 ,                         301 ,                       89 ,             789
exp 4-5  ,aws-us-east-1c-8x-t3.2xlarge-spot-efs-23-52-44--14-02-2024  ,2024-02-15 02:59:12.452028+00:00 ,           ,2024-02-15 03:38:37.315865+00:00 ,                        0 ,                      3 ,SCR                              ,SCR                       ,True                        ,                        386 ,                        13 ,                       0 ,                         299 ,                      141 ,             839
exp 5-1  ,aws-us-east-1c-8x-t3.2xlarge-spot-efs-23-52-44--14-02-2024  ,2024-02-15 02:59:12.457716+00:00 ,           ,2024-02-15 03:46:17.943818+00:00 ,                        0 ,                      3 ,SCR                              ,SCR                       ,True                        ,                        386 ,                        13 ,                       0 ,                         300 ,                      143 ,             842
exp 5-2  ,aws-us-east-1c-8x-t3.2xlarge-spot-efs-23-52-44--14-02-2024  ,2024-02-15 02:59:12.464687+00:00 ,           ,2024-02-15 03:54:56.128585+00:00 ,                        0 ,                      3 ,SCR                              ,SCR                       ,True                        ,                        386 ,                        13 ,                       0 ,                         359 ,                      142 ,             900
exp 5-3  ,aws-us-east-1c-8x-t3.2xlarge-spot-efs-23-52-44--14-02-2024  ,2024-02-15 02:59:12.470811+00:00 ,           ,2024-02-15 04:02:35.090442+00:00 ,                        0 ,                      3 ,SCR                              ,SCR                       ,True                        ,                        386 ,                        13 ,                       0 ,                         299 ,                      143 ,             841
exp 5-4  ,aws-us-east-1c-8x-t3.2xlarge-spot-efs-23-52-44--14-02-2024  ,2024-02-15 02:59:12.476086+00:00 ,           ,2024-02-15 04:10:09.421441+00:00 ,                        0 ,                      3 ,SCR                              ,SCR                       ,True                        ,                        386 ,                        13 ,                       0 ,                         294 ,                      143 ,             836
exp 5-5  ,aws-us-east-1c-8x-t3.2xlarge-spot-efs-23-52-44--14-02-2024  ,2024-02-15 02:59:12.481322+00:00 ,           ,2024-02-15 04:17:46.391439+00:00 ,                        0 ,                      3 ,SCR                              ,SCR                       ,True                        ,                        386 ,                        13 ,                       0 ,                         297 ,                      142 ,             838
exp 19-1 ,aws-us-east-1c-4x-i3.2xlarge-spot-efs-18-24-56--15-02-2024  ,2024-02-15 21:31:16.569793+00:00 ,           ,2024-02-15 21:37:57.474953+00:00 ,                        0 ,                      3 ,SCR                              ,SCR                       ,True                        ,                        334 ,                        13 ,                       0 ,                         295 ,                       88 ,             730
exp 23-1 ,aws-us-east-1c-8x-i3.2xlarge-spot-efs-21-46-38--15-02-2024  ,2024-02-16 00:53:46.099693+00:00 ,           ,2024-02-16 01:01:26.801636+00:00 ,                        0 ,                      3 ,SCR                              ,SCR                       ,True                        ,                        394 ,                        14 ,                       0 ,                         307 ,                      136 ,             851
exp 23-2 ,aws-us-east-1c-8x-i3.2xlarge-spot-efs-21-46-38--15-02-2024  ,2024-02-16 00:53:46.107369+00:00 ,           ,2024-02-16 01:09:16.443260+00:00 ,                        0 ,                      3 ,SCR                              ,SCR                       ,True                        ,                        394 ,                        14 ,                       0 ,                         315 ,                      135 ,             858
exp 23-3 ,aws-us-east-1c-8x-i3.2xlarge-spot-efs-21-46-38--15-02-2024  ,2024-02-16 00:53:46.113354+00:00 ,           ,2024-02-16 01:17:15.864668+00:00 ,                        0 ,                      3 ,SCR                              ,SCR                       ,True                        ,                        394 ,                        13 ,                       0 ,                         327 ,                      135 ,             869
exp 23-4 ,aws-us-east-1c-8x-i3.2xlarge-spot-efs-21-46-38--15-02-2024  ,2024-02-16 00:53:46.119025+00:00 ,           ,2024-02-16 01:26:16.680064+00:00 ,                        0 ,                      3 ,SCR                              ,SCR                       ,True                        ,                        394 ,                        14 ,                       0 ,                         386 ,                      137 ,             931
exp 19-5 ,aws-us-east-1c-4x-i3.2xlarge-spot-efs-18-24-56--15-02-2024  ,2024-02-15 21:31:16.613491+00:00 ,           ,2024-02-15 22:05:54.370391+00:00 ,                        0 ,                      3 ,SCR                              ,SCR                       ,True                        ,                        334 ,                        13 ,                       0 ,                         296 ,                       86 ,             729
exp 20-1 ,aws-us-east-1c-4x-i3.2xlarge-spot-efs-18-24-56--15-02-2024  ,2024-02-15 21:31:16.626239+00:00 ,           ,2024-02-15 22:12:35.188310+00:00 ,                        0 ,                      3 ,SCR                              ,SCR                       ,True                        ,                        334 ,                        13 ,                       0 ,                         296 ,                       88 ,             731
exp 20-2 ,aws-us-east-1c-4x-i3.2xlarge-spot-efs-18-24-56--15-02-2024  ,2024-02-15 21:31:16.634296+00:00 ,           ,2024-02-15 22:20:13.702324+00:00 ,                        0 ,                      3 ,SCR                              ,SCR                       ,True                        ,                        334 ,                        13 ,                       0 ,                         353 ,                       89 ,             789
exp 20-3 ,aws-us-east-1c-4x-i3.2xlarge-spot-efs-18-24-56--15-02-2024  ,2024-02-15 21:31:16.645288+00:00 ,           ,2024-02-15 22:26:40.873658+00:00 ,                        0 ,                      3 ,SCR                              ,SCR                       ,True                        ,                        334 ,                        12 ,                       0 ,                         282 ,                       88 ,             716
exp 10-3 ,aws-us-east-1c-8x-c5.2xlarge-spot-efs-10-00-17--15-02-2024  ,2024-02-15 13:06:31.892240+00:00 ,           ,2024-02-15 13:24:10.762585+00:00 ,                        0 ,                      3 ,SCR                              ,SCR                       ,True                        ,                        371 ,                        12 ,                       0 ,                         145 ,                       41 ,             569
exp 10-4 ,aws-us-east-1c-8x-c5.2xlarge-spot-efs-10-00-17--15-02-2024  ,2024-02-15 13:06:31.906160+00:00 ,           ,2024-02-15 13:31:24.249211+00:00 ,                        0 ,                      3 ,SCR                              ,SCR                       ,True                        ,                        371 ,                        13 ,                       0 ,                         295 ,                      122 ,             801
exp 10-5 ,aws-us-east-1c-8x-c5.2xlarge-spot-efs-10-00-17--15-02-2024  ,2024-02-15 13:06:31.916283+00:00 ,           ,2024-02-15 13:36:01.859356+00:00 ,                        0 ,                      3 ,SCR                              ,SCR                       ,True                        ,                        371 ,                        13 ,                       0 ,                         207 ,                       53 ,             644
exp 11-1 ,aws-us-east-1c-8x-c5.2xlarge-spot-efs-10-00-17--15-02-2024  ,2024-02-15 13:06:31.930535+00:00 ,           ,2024-02-15 13:43:11.560500+00:00 ,                        0 ,                      3 ,SCR                              ,SCR                       ,True                        ,                        371 ,                        13 ,                       0 ,                         293 ,                      120 ,             797
exp 11-2 ,aws-us-east-1c-8x-c5.2xlarge-spot-efs-10-00-17--15-02-2024  ,2024-02-15 13:06:31.944723+00:00 ,           ,2024-02-15 13:50:13.900463+00:00 ,                        0 ,                      3 ,SCR                              ,SCR                       ,True                        ,                        371 ,                        12 ,                       0 ,                         285 ,                      121 ,             789
exp 11-3 ,aws-us-east-1c-8x-c5.2xlarge-spot-efs-10-00-17--15-02-2024  ,2024-02-15 13:06:31.956510+00:00 ,           ,2024-02-15 13:58:26.904353+00:00 ,                        0 ,                      3 ,SCR                              ,SCR                       ,True                        ,                        371 ,                        13 ,                       0 ,                         353 ,                      123 ,             860
exp 11-4 ,aws-us-east-1c-8x-c5.2xlarge-spot-efs-10-00-17--15-02-2024  ,2024-02-15 13:06:31.962735+00:00 ,           ,2024-02-15 14:07:40.443972+00:00 ,                        0 ,                      3 ,SCR                              ,SCR                       ,True                        ,                        371 ,                        12 ,                       0 ,                         415 ,                      122 ,             920
exp 11-5 ,aws-us-east-1c-8x-c5.2xlarge-spot-efs-10-00-17--15-02-2024  ,2024-02-15 13:06:31.972866+00:00 ,           ,2024-02-15 14:14:45.870151+00:00 ,                        0 ,                      3 ,SCR                              ,SCR                       ,True                        ,                        371 ,                        12 ,                       0 ,                         287 ,                      121 ,             791
exp 10-1 ,aws-us-east-1c-8x-c5.2xlarge-spot-efs-10-00-17--15-02-2024  ,2024-02-15 13:06:31.858528+00:00 ,           ,2024-02-15 13:13:04.363555+00:00 ,                        0 ,                      3 ,SCR                              ,SCR                       ,True                        ,                        371 ,                        12 ,                       0 ,                         298 ,                       78 ,             759
exp 10-2 ,aws-us-east-1c-8x-c5.2xlarge-spot-efs-10-00-17--15-02-2024  ,2024-02-15 13:06:31.877137+00:00 ,           ,2024-02-15 13:20:48.452073+00:00 ,                        0 ,                      3 ,SCR                              ,SCR                       ,True                        ,                        371 ,                        13 ,                       0 ,                         355 ,                       92 ,             831
exp 12-1 ,aws-us-east-1c-8x-c5.2xlarge-spot-efs-10-00-17--15-02-2024  ,2024-02-15 13:06:31.978254+00:00 ,           ,2024-02-15 14:21:56.558046+00:00 ,                        0 ,                      3 ,SCR                              ,SCR                       ,True                        ,                        371 ,                        12 ,                       0 ,                         286 ,                      128 ,             797
exp 12-2 ,aws-us-east-1c-8x-c5.2xlarge-spot-efs-10-00-17--15-02-2024  ,2024-02-15 13:06:31.983698+00:00 ,           ,2024-02-15 14:29:10.889613+00:00 ,                        0 ,                      3 ,SCR                              ,SCR                       ,True                        ,                        371 ,                        12 ,                       0 ,                         290 ,                      127 ,             800
exp 12-3 ,aws-us-east-1c-8x-c5.2xlarge-spot-efs-10-00-17--15-02-2024  ,2024-02-15 13:06:31.988859+00:00 ,           ,2024-02-15 14:36:24.903769+00:00 ,                        0 ,                      3 ,SCR                              ,SCR                       ,True                        ,                        371 ,                        13 ,                       0 ,                         290 ,                      128 ,             802
